# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'task-clock'
# Event count (approx.): 15683415125
#
# Overhead  Command  Shared Object                           Symbol                                       
# ........  .......  ......................................  .............................................
#
     0.03%  conda    python3.11                              [.] 0x00000000000ed417
     0.03%  conda    python3.11                              [.] 0x00000000000ed750
     0.03%  conda    python3.11                              [.] 0x00000000000ede9f
     0.03%  conda    python3.11                              [.] 0x00000000000ee079
     0.03%  conda    python3.11                              [.] 0x00000000000ee950
     0.03%  conda    python3.11                              [.] 0x00000000000ee9f6
     0.03%  conda    python3.11                              [.] 0x00000000000eea1f
     0.03%  conda    python3.11                              [.] 0x00000000000eea37
     0.03%  conda    python3.11                              [.] 0x00000000000eea48
     0.03%  conda    python3.11                              [.] 0x00000000000eea5b
     0.03%  conda    python3.11                              [.] 0x00000000000eea84
     0.03%  conda    python3.11                              [.] 0x00000000000eec10
     0.03%  conda    python3.11                              [.] 0x00000000000eec2f
     0.03%  conda    python3.11                              [.] 0x00000000000eee23
     0.03%  conda    python3.11                              [.] 0x00000000000eef87
     0.03%  conda    python3.11                              [.] 0x00000000000f0570
     0.03%  conda    python3.11                              [.] 0x00000000000f1143
     0.03%  conda    python3.11                              [.] 0x00000000000f3359
     0.03%  conda    python3.11                              [.] 0x00000000000f6470
     0.03%  conda    python3.11                              [.] 0x00000000000f73dc
     0.03%  conda    python3.11                              [.] 0x00000000000f7765
     0.03%  conda    python3.11                              [.] 0x00000000000f779e
     0.03%  conda    python3.11                              [.] 0x00000000000f7a68
     0.03%  conda    python3.11                              [.] 0x00000000000f825f
     0.03%  conda    python3.11                              [.] 0x00000000000f8b0a
     0.03%  conda    python3.11                              [.] 0x00000000000f8b1c
     0.03%  conda    python3.11                              [.] 0x00000000000f8b60
     0.03%  conda    python3.11                              [.] 0x00000000000f8b7a
     0.03%  conda    python3.11                              [.] 0x00000000000f8b9b
     0.03%  conda    python3.11                              [.] 0x00000000000f8cd0
     0.03%  conda    python3.11                              [.] 0x00000000000f8d16
     0.03%  conda    python3.11                              [.] 0x00000000000f8e20
     0.03%  conda    python3.11                              [.] 0x00000000000f8e94
     0.03%  conda    python3.11                              [.] 0x00000000000f9110
     0.03%  conda    python3.11                              [.] 0x00000000000f911a
     0.03%  conda    python3.11                              [.] 0x00000000000f9a74
     0.03%  conda    python3.11                              [.] 0x00000000000fab40
     0.03%  conda    python3.11                              [.] 0x00000000000fc9f5
     0.03%  conda    python3.11                              [.] 0x000000000010133f
     0.03%  conda    python3.11                              [.] 0x0000000000104aca
     0.03%  conda    python3.11                              [.] 0x0000000000104b6f
     0.03%  conda    python3.11                              [.] 0x0000000000104b8d
     0.03%  conda    python3.11                              [.] 0x0000000000104b9f
     0.03%  conda    python3.11                              [.] 0x0000000000104c78
     0.03%  conda    python3.11                              [.] 0x0000000000104c8d
     0.03%  conda    python3.11                              [.] 0x0000000000104caf
     0.03%  conda    python3.11                              [.] 0x0000000000107169
     0.03%  conda    python3.11                              [.] 0x0000000000108de8
     0.03%  conda    python3.11                              [.] 0x0000000000109524
     0.03%  conda    python3.11                              [.] 0x0000000000109eee
     0.03%  conda    python3.11                              [.] 0x000000000010c9ce
     0.03%  conda    python3.11                              [.] 0x000000000010cff7
     0.03%  conda    python3.11                              [.] 0x000000000010d08a
     0.03%  conda    python3.11                              [.] 0x000000000010d732
     0.03%  conda    python3.11                              [.] 0x000000000010e8d0
     0.03%  conda    python3.11                              [.] 0x000000000010e98f
     0.03%  conda    python3.11                              [.] 0x000000000010e9fa
     0.03%  conda    python3.11                              [.] 0x000000000010ea3c
     0.03%  conda    python3.11                              [.] 0x000000000010eae1
     0.03%  conda    python3.11                              [.] 0x000000000010eb2b
     0.03%  conda    python3.11                              [.] 0x000000000010ed98
     0.03%  conda    python3.11                              [.] 0x000000000010ee8f
     0.03%  conda    python3.11                              [.] 0x000000000010ef2d
     0.03%  conda    python3.11                              [.] 0x000000000010f1d6
     0.03%  conda    python3.11                              [.] 0x000000000010f20e
     0.03%  conda    python3.11                              [.] 0x000000000010f21b
     0.03%  conda    python3.11                              [.] 0x000000000010f356
     0.03%  conda    python3.11                              [.] 0x000000000010f6a2
     0.03%  conda    python3.11                              [.] 0x000000000010f79f
     0.03%  conda    python3.11                              [.] 0x000000000010f7df
     0.03%  conda    python3.11                              [.] 0x000000000011089b
     0.03%  conda    python3.11                              [.] 0x0000000000110b38
     0.03%  conda    python3.11                              [.] 0x0000000000110c8b
     0.03%  conda    python3.11                              [.] 0x000000000011222d
     0.03%  conda    python3.11                              [.] 0x0000000000115538
     0.03%  conda    python3.11                              [.] 0x000000000011b005
     0.03%  conda    python3.11                              [.] 0x000000000011ca6d
     0.03%  conda    python3.11                              [.] 0x000000000011cc70
     0.03%  conda    python3.11                              [.] 0x000000000011f5c0
     0.03%  conda    python3.11                              [.] 0x000000000012055e
     0.03%  conda    python3.11                              [.] 0x0000000000122dd9
     0.03%  conda    python3.11                              [.] 0x000000000012fca5
     0.03%  conda    python3.11                              [.] 0x000000000013496a
     0.03%  conda    python3.11                              [.] 0x0000000000135459
     0.03%  conda    python3.11                              [.] 0x0000000000139d89
     0.03%  conda    python3.11                              [.] 0x000000000013b7f6
     0.03%  conda    python3.11                              [.] 0x000000000013c80c
     0.03%  conda    python3.11                              [.] 0x0000000000142612
     0.03%  conda    python3.11                              [.] 0x00000000001494f7
     0.03%  conda    python3.11                              [.] 0x000000000015d494
     0.03%  conda    python3.11                              [.] 0x000000000015efc4
     0.03%  conda    python3.11                              [.] 0x0000000000162f30
     0.03%  conda    python3.11                              [.] 0x000000000016d4f0
     0.03%  conda    python3.11                              [.] 0x000000000016f504
     0.03%  conda    python3.11                              [.] 0x0000000000174618
     0.03%  conda    python3.11                              [.] 0x00000000001c1fd0
     0.03%  conda    python3.11                              [.] 0x00000000001c2c13
     0.03%  conda    python3.11                              [.] 0x00000000001c52a3
     0.03%  conda    python3.11                              [.] 0x00000000001c5aff
     0.03%  git      [kernel.kallsyms]                       [k] __d_lookup
     0.03%  git      [kernel.kallsyms]                       [k] __kmalloc
     0.03%  git      [kernel.kallsyms]                       [k] __raw_callee_save___pv_queued_spin_unlock
     0.03%  git      [kernel.kallsyms]                       [k] __rcu_read_lock
     0.03%  git      [kernel.kallsyms]                       [k] _raw_spin_unlock_irqrestore
     0.03%  git      [kernel.kallsyms]                       [k] aa_dfa_match
     0.03%  git      [kernel.kallsyms]                       [k] filemap_get_pages
     0.03%  git      [kernel.kallsyms]                       [k] folio_add_lru
     0.03%  git      [kernel.kallsyms]                       [k] inode_permission
     0.03%  git      [kernel.kallsyms]                       [k] mas_data_end
     0.03%  git      [kernel.kallsyms]                       [k] mas_wr_node_store
     0.03%  git      [kernel.kallsyms]                       [k] our_mnt
     0.03%  git      [kernel.kallsyms]                       [k] set_ptes.constprop.0
     0.03%  git      git                                     [.] 0x000000000011c5a8
     0.03%  git      git                                     [.] 0x0000000000288be7
     0.03%  git      git                                     [.] 0x000000000028c14a
     0.03%  git      git                                     [.] 0x000000000028c4c9
     0.03%  git      git                                     [.] 0x000000000028c4d3
     0.03%  git      git                                     [.] 0x000000000028c521
     0.03%  git      git                                     [.] 0x000000000028c5b3
     0.03%  git      git                                     [.] 0x000000000028c7b3
     0.03%  git      git                                     [.] 0x000000000028caf0
     0.03%  git      git                                     [.] 0x000000000028cb43
     0.03%  git      git                                     [.] 0x000000000028cb98
     0.03%  git      git                                     [.] 0x000000000028cd2d
     0.03%  git      git                                     [.] 0x000000000028d024
     0.03%  git      git                                     [.] 0x000000000028d06f
     0.03%  git      git                                     [.] 0x000000000028d21a
     0.03%  git      git                                     [.] 0x000000000028d458
     0.03%  git      git                                     [.] 0x000000000028d7ff
     0.03%  git      git                                     [.] 0x000000000028dbe4
     0.03%  git      git                                     [.] 0x000000000028df2b
     0.03%  git      git                                     [.] 0x000000000028e0ef
     0.03%  git      libc.so.6                               [.] __wmemcmp_avx2_movbe_rtm
     0.03%  git      libz.so.1.2.11                          [.] 0x0000000000002d43
     0.03%  git      libz.so.1.2.11                          [.] 0x0000000000003403
     0.03%  python   [kernel.kallsyms]                       [k] __aa_path_perm
     0.03%  python   [kernel.kallsyms]                       [k] __alloc_pages
     0.03%  python   [kernel.kallsyms]                       [k] __brelse
     0.03%  python   [kernel.kallsyms]                       [k] __check_block_validity.constprop.0
     0.03%  python   [kernel.kallsyms]                       [k] __d_add
     0.03%  python   [kernel.kallsyms]                       [k] __d_lookup_rcu
     0.03%  python   [kernel.kallsyms]                       [k] __ext4_check_dir_entry
     0.03%  python   [kernel.kallsyms]                       [k] __filemap_get_folio
     0.03%  python   [kernel.kallsyms]                       [k] __get_user_8
     0.03%  python   [kernel.kallsyms]                       [k] __handle_mm_fault
     0.03%  python   [kernel.kallsyms]                       [k] __pte_offset_map
     0.03%  python   [kernel.kallsyms]                       [k] __put_user_8
     0.03%  python   [kernel.kallsyms]                       [k] __raw_callee_save___pv_queued_spin_unlock
     0.03%  python   [kernel.kallsyms]                       [k] __seccomp_filter
     0.03%  python   [kernel.kallsyms]                       [k] __secure_computing
     0.03%  python   [kernel.kallsyms]                       [k] __virt_addr_valid
     0.03%  python   [kernel.kallsyms]                       [k] _raw_spin_lock
     0.03%  python   [kernel.kallsyms]                       [k] aa_str_perms
     0.03%  python   [kernel.kallsyms]                       [k] apparmor_file_alloc_security
     0.03%  python   [kernel.kallsyms]                       [k] atime_needs_update
     0.03%  python   [kernel.kallsyms]                       [k] begin_current_label_crit_section
     0.03%  python   [kernel.kallsyms]                       [k] check_heap_object
     0.03%  python   [kernel.kallsyms]                       [k] clear_page_erms
     0.03%  python   [kernel.kallsyms]                       [k] copy_mc_enhanced_fast_string
     0.03%  python   [kernel.kallsyms]                       [k] copy_page_from_iter
     0.03%  python   [kernel.kallsyms]                       [k] count_memcg_events.constprop.0
     0.03%  python   [kernel.kallsyms]                       [k] do_dentry_open
     0.03%  python   [kernel.kallsyms]                       [k] do_filp_open
     0.03%  python   [kernel.kallsyms]                       [k] folio_add_lru
     0.03%  python   [kernel.kallsyms]                       [k] folio_unlock
     0.03%  python   [kernel.kallsyms]                       [k] fscrypt_match_name
     0.03%  python   [kernel.kallsyms]                       [k] get_vma_policy
     0.03%  python   [kernel.kallsyms]                       [k] inode_init_once
     0.03%  python   [kernel.kallsyms]                       [k] link_path_walk.part.0.constprop.0
     0.03%  python   [kernel.kallsyms]                       [k] lookup_bh_lru
     0.03%  python   [kernel.kallsyms]                       [k] lookup_fast
     0.03%  python   [kernel.kallsyms]                       [k] lruvec_stat_mod_folio.constprop.0
     0.03%  python   [kernel.kallsyms]                       [k] mas_ascend
     0.03%  python   [kernel.kallsyms]                       [k] mas_update_gap.part.0
     0.03%  python   [kernel.kallsyms]                       [k] mas_walk
     0.03%  python   [kernel.kallsyms]                       [k] mas_wr_modify
     0.03%  python   [kernel.kallsyms]                       [k] ovl_dentry_init_flags
     0.03%  python   [kernel.kallsyms]                       [k] ovl_permission
     0.03%  python   [kernel.kallsyms]                       [k] ovl_update_time
     0.03%  python   [kernel.kallsyms]                       [k] profile_path_perm.part.0
     0.03%  python   [kernel.kallsyms]                       [k] put_cpu_partial
     0.03%  python   [kernel.kallsyms]                       [k] rcu_core
     0.03%  python   [kernel.kallsyms]                       [k] release_pages
     0.03%  python   [kernel.kallsyms]                       [k] set_root
     0.03%  python   [kernel.kallsyms]                       [k] task_mm_cid_work
     0.03%  python   [kernel.kallsyms]                       [k] up_write
     0.03%  python   [kernel.kallsyms]                       [k] vm_normal_page
     0.03%  python   [kernel.kallsyms]                       [k] xattr_resolve_name
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000024f6
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000002518
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000000252f
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000002561
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000002578
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000000258a
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000025b5
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000028a6
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000002a42
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000036be
     0.03%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000003777
     0.03%  python   ld-linux-x86-64.so.2                    [.] mprotect
     0.03%  python   ld-linux-x86-64.so.2                    [.] strcmp
     0.03%  python   libc.so.6                               [.] __libc_openat64
     0.03%  python   libc.so.6                               [.] __mempcpy@plt
     0.03%  python   libc.so.6                               [.] __mempcpy_avx512_unaligned_erms
     0.03%  python   libc.so.6                               [.] __mempcpy_chk_avx512_unaligned
     0.03%  python   libc.so.6                               [.] __memset_avx512_erms
     0.03%  python   libc.so.6                               [.] __memset_avx512_unaligned
     0.03%  python   libc.so.6                               [.] __strchrnul_evex
     0.03%  python   libc.so.6                               [.] __wmemset_avx512_unaligned
     0.03%  python   libc.so.6                               [.] _int_free
     0.03%  python   libc.so.6                               [.] clock_adjtime
     0.03%  python   libc.so.6                               [.] malloc
     0.03%  python   libc.so.6                               [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.03%  python   libc.so.6                               [.] pthread_rwlock_unlock@@GLIBC_2.34
     0.03%  python   libc.so.6                               [.] tcsetattr
     0.03%  python   libc.so.6                               [.] 0x00000000001a6877
     0.03%  python   libcrypto.so.3                          [.] 0x00000000000e5ab4
     0.03%  python   libcrypto.so.3                          [.] 0x00000000000f0b10
     0.03%  python   libcrypto.so.3                          [.] 0x00000000002018d9
     0.03%  python   libcrypto.so.3                          [.] 0x0000000000201907
     0.03%  python   libcrypto.so.3                          [.] 0x0000000000212b96
     0.03%  python   libcrypto.so.3                          [.] 0x0000000000212bb1
     0.03%  python   libcrypto.so.3                          [.] 0x0000000000212eb3
     0.03%  python   python3.9                               [.] 0x00000000000a1d5d
     0.03%  python   python3.9                               [.] 0x00000000000d13d8
     0.03%  python   python3.9                               [.] 0x00000000000d2989
     0.03%  python   python3.9                               [.] 0x00000000000d2aa9
     0.03%  python   python3.9                               [.] 0x00000000000d2b5a
     0.03%  python   python3.9                               [.] 0x00000000000d2d49
     0.03%  python   python3.9                               [.] 0x00000000000d2e2c
     0.03%  python   python3.9                               [.] 0x00000000000d2e4a
     0.03%  python   python3.9                               [.] 0x00000000000d2f4f
     0.03%  python   python3.9                               [.] 0x00000000000d32fb
     0.03%  python   python3.9                               [.] 0x00000000000d3544
     0.03%  python   python3.9                               [.] 0x00000000000d35e9
     0.03%  python   python3.9                               [.] 0x00000000000d35ed
     0.03%  python   python3.9                               [.] 0x00000000000d3605
     0.03%  python   python3.9                               [.] 0x00000000000d3633
     0.03%  python   python3.9                               [.] 0x00000000000d3667
     0.03%  python   python3.9                               [.] 0x00000000000d36a8
     0.03%  python   python3.9                               [.] 0x00000000000d386c
     0.03%  python   python3.9                               [.] 0x00000000000d4e2c
     0.03%  python   python3.9                               [.] 0x00000000000d4f64
     0.03%  python   python3.9                               [.] 0x00000000000d5339
     0.03%  python   python3.9                               [.] 0x00000000000d5450
     0.03%  python   python3.9                               [.] 0x00000000000d5541
     0.03%  python   python3.9                               [.] 0x00000000000d5552
     0.03%  python   python3.9                               [.] 0x00000000000d5563
     0.03%  python   python3.9                               [.] 0x00000000000d5630
     0.03%  python   python3.9                               [.] 0x00000000000d5640
     0.03%  python   python3.9                               [.] 0x00000000000d564d
     0.03%  python   python3.9                               [.] 0x00000000000d5692
     0.03%  python   python3.9                               [.] 0x00000000000d5778
     0.03%  python   python3.9                               [.] 0x00000000000d5789
     0.03%  python   python3.9                               [.] 0x00000000000d5830
     0.03%  python   python3.9                               [.] 0x00000000000d58e8
     0.03%  python   python3.9                               [.] 0x00000000000d5986
     0.03%  python   python3.9                               [.] 0x00000000000d5a4f
     0.03%  python   python3.9                               [.] 0x00000000000d5cd0
     0.03%  python   python3.9                               [.] 0x00000000000d5cd5
     0.03%  python   python3.9                               [.] 0x00000000000d5cdd
     0.03%  python   python3.9                               [.] 0x00000000000d5cfc
     0.03%  python   python3.9                               [.] 0x00000000000d5d1e
     0.03%  python   python3.9                               [.] 0x00000000000d5d20
     0.03%  python   python3.9                               [.] 0x00000000000d5d2e
     0.03%  python   python3.9                               [.] 0x00000000000d5d47
     0.03%  python   python3.9                               [.] 0x00000000000d5d54
     0.03%  python   python3.9                               [.] 0x00000000000d5d5f
     0.03%  python   python3.9                               [.] 0x00000000000d5d90
     0.03%  python   python3.9                               [.] 0x00000000000d5e0d
     0.03%  python   python3.9                               [.] 0x00000000000d5f03
     0.03%  python   python3.9                               [.] 0x00000000000d5f3f
     0.03%  python   python3.9                               [.] 0x00000000000d6175
     0.03%  python   python3.9                               [.] 0x00000000000d6185
     0.03%  python   python3.9                               [.] 0x00000000000d61a3
     0.03%  python   python3.9                               [.] 0x00000000000d61a9
     0.03%  python   python3.9                               [.] 0x00000000000d6214
     0.03%  python   python3.9                               [.] 0x00000000000d65de
     0.03%  python   python3.9                               [.] 0x00000000000d66a0
     0.03%  python   python3.9                               [.] 0x00000000000d6754
     0.03%  python   python3.9                               [.] 0x00000000000d6a52
     0.03%  python   python3.9                               [.] 0x00000000000d6d15
     0.03%  python   python3.9                               [.] 0x00000000000d6d7a
     0.03%  python   python3.9                               [.] 0x00000000000d6f90
     0.03%  python   python3.9                               [.] 0x00000000000d76e7
     0.03%  python   python3.9                               [.] 0x00000000000d7786
     0.03%  python   python3.9                               [.] 0x00000000000d88d2
     0.03%  python   python3.9                               [.] 0x00000000000d891e
     0.03%  python   python3.9                               [.] 0x00000000000d8ad7
     0.03%  python   python3.9                               [.] 0x00000000000d8afe
     0.03%  python   python3.9                               [.] 0x00000000000d8b50
     0.03%  python   python3.9                               [.] 0x00000000000d8dbc
     0.03%  python   python3.9                               [.] 0x00000000000d8dd3
     0.03%  python   python3.9                               [.] 0x00000000000d8e20
     0.03%  python   python3.9                               [.] 0x00000000000d8e40
     0.03%  python   python3.9                               [.] 0x00000000000d90d0
     0.03%  python   python3.9                               [.] 0x00000000000d9390
     0.03%  python   python3.9                               [.] 0x00000000000d9410
     0.03%  python   python3.9                               [.] 0x00000000000d944d
     0.03%  python   python3.9                               [.] 0x00000000000d94a7
     0.03%  python   python3.9                               [.] 0x00000000000d953b
     0.03%  python   python3.9                               [.] 0x00000000000d955a
     0.03%  python   python3.9                               [.] 0x00000000000d9569
     0.03%  python   python3.9                               [.] 0x00000000000d9583
     0.03%  python   python3.9                               [.] 0x00000000000d95a2
     0.03%  python   python3.9                               [.] 0x00000000000d95a6
     0.03%  python   python3.9                               [.] 0x00000000000d9740
     0.03%  python   python3.9                               [.] 0x00000000000d974a
     0.03%  python   python3.9                               [.] 0x00000000000d97b4
     0.03%  python   python3.9                               [.] 0x00000000000d9830
     0.03%  python   python3.9                               [.] 0x00000000000d98b6
     0.03%  python   python3.9                               [.] 0x00000000000d9935
     0.03%  python   python3.9                               [.] 0x00000000000d9960
     0.03%  python   python3.9                               [.] 0x00000000000d9a6c
     0.03%  python   python3.9                               [.] 0x00000000000d9af6
     0.03%  python   python3.9                               [.] 0x00000000000d9b90
     0.03%  python   python3.9                               [.] 0x00000000000d9c90
     0.03%  python   python3.9                               [.] 0x00000000000d9cc2
     0.03%  python   python3.9                               [.] 0x00000000000d9cc7
     0.03%  python   python3.9                               [.] 0x00000000000d9d23
     0.03%  python   python3.9                               [.] 0x00000000000d9d28
     0.03%  python   python3.9                               [.] 0x00000000000d9d48
     0.03%  python   python3.9                               [.] 0x00000000000d9d4b
     0.03%  python   python3.9                               [.] 0x00000000000d9d62
     0.03%  python   python3.9                               [.] 0x00000000000d9d88
     0.03%  python   python3.9                               [.] 0x00000000000da2a9
     0.03%  python   python3.9                               [.] 0x00000000000da2b2
     0.03%  python   python3.9                               [.] 0x00000000000da2b5
     0.03%  python   python3.9                               [.] 0x00000000000da2b8
     0.03%  python   python3.9                               [.] 0x00000000000da91c
     0.03%  python   python3.9                               [.] 0x00000000000daa8c
     0.03%  python   python3.9                               [.] 0x00000000000dac02
     0.03%  python   python3.9                               [.] 0x00000000000dac0b
     0.03%  python   python3.9                               [.] 0x00000000000dac1c
     0.03%  python   python3.9                               [.] 0x00000000000dac31
     0.03%  python   python3.9                               [.] 0x00000000000dacbd
     0.03%  python   python3.9                               [.] 0x00000000000daceb
     0.03%  python   python3.9                               [.] 0x00000000000dad03
     0.03%  python   python3.9                               [.] 0x00000000000dad17
     0.03%  python   python3.9                               [.] 0x00000000000dadaf
     0.03%  python   python3.9                               [.] 0x00000000000dade3
     0.03%  python   python3.9                               [.] 0x00000000000dae13
     0.03%  python   python3.9                               [.] 0x00000000000db0be
     0.03%  python   python3.9                               [.] 0x00000000000db0c2
     0.03%  python   python3.9                               [.] 0x00000000000db1ce
     0.03%  python   python3.9                               [.] 0x00000000000db2a8
     0.03%  python   python3.9                               [.] 0x00000000000db2ae
     0.03%  python   python3.9                               [.] 0x00000000000db3d0
     0.03%  python   python3.9                               [.] 0x00000000000db3f7
     0.03%  python   python3.9                               [.] 0x00000000000db497
     0.03%  python   python3.9                               [.] 0x00000000000db574
     0.03%  python   python3.9                               [.] 0x00000000000db577
     0.03%  python   python3.9                               [.] 0x00000000000db5cd
     0.03%  python   python3.9                               [.] 0x00000000000db749
     0.03%  python   python3.9                               [.] 0x00000000000db74f
     0.03%  python   python3.9                               [.] 0x00000000000db79d
     0.03%  python   python3.9                               [.] 0x00000000000db7f7
     0.03%  python   python3.9                               [.] 0x00000000000db84e
     0.03%  python   python3.9                               [.] 0x00000000000dbe68
     0.03%  python   python3.9                               [.] 0x00000000000dbe6c
     0.03%  python   python3.9                               [.] 0x00000000000dbeb8
     0.03%  python   python3.9                               [.] 0x00000000000dbf50
     0.03%  python   python3.9                               [.] 0x00000000000dc38d
     0.03%  python   python3.9                               [.] 0x00000000000dc390
     0.03%  python   python3.9                               [.] 0x00000000000dc4f2
     0.03%  python   python3.9                               [.] 0x00000000000dc557
     0.03%  python   python3.9                               [.] 0x00000000000dc562
     0.03%  python   python3.9                               [.] 0x00000000000dc5a0
     0.03%  python   python3.9                               [.] 0x00000000000dc5f9
     0.03%  python   python3.9                               [.] 0x00000000000dc790
     0.03%  python   python3.9                               [.] 0x00000000000dc79b
     0.03%  python   python3.9                               [.] 0x00000000000dc7c5
     0.03%  python   python3.9                               [.] 0x00000000000dcbbb
     0.03%  python   python3.9                               [.] 0x00000000000dcbc3
     0.03%  python   python3.9                               [.] 0x00000000000dcbe7
     0.03%  python   python3.9                               [.] 0x00000000000dcc3b
     0.03%  python   python3.9                               [.] 0x00000000000dce0e
     0.03%  python   python3.9                               [.] 0x00000000000dce27
     0.03%  python   python3.9                               [.] 0x00000000000dd12d
     0.03%  python   python3.9                               [.] 0x00000000000dd5a0
     0.03%  python   python3.9                               [.] 0x00000000000dd736
     0.03%  python   python3.9                               [.] 0x00000000000dd748
     0.03%  python   python3.9                               [.] 0x00000000000dddba
     0.03%  python   python3.9                               [.] 0x00000000000ddddf
     0.03%  python   python3.9                               [.] 0x00000000000dde14
     0.03%  python   python3.9                               [.] 0x00000000000dde34
     0.03%  python   python3.9                               [.] 0x00000000000dde3f
     0.03%  python   python3.9                               [.] 0x00000000000dde54
     0.03%  python   python3.9                               [.] 0x00000000000dde59
     0.03%  python   python3.9                               [.] 0x00000000000ddf80
     0.03%  python   python3.9                               [.] 0x00000000000ddf8f
     0.03%  python   python3.9                               [.] 0x00000000000ddfb1
     0.03%  python   python3.9                               [.] 0x00000000000de080
     0.03%  python   python3.9                               [.] 0x00000000000de0d7
     0.03%  python   python3.9                               [.] 0x00000000000de270
     0.03%  python   python3.9                               [.] 0x00000000000de2f9
     0.03%  python   python3.9                               [.] 0x00000000000de300
     0.03%  python   python3.9                               [.] 0x00000000000de336
     0.03%  python   python3.9                               [.] 0x00000000000de337
     0.03%  python   python3.9                               [.] 0x00000000000de3cc
     0.03%  python   python3.9                               [.] 0x00000000000de462
     0.03%  python   python3.9                               [.] 0x00000000000de8d8
     0.03%  python   python3.9                               [.] 0x00000000000de8f2
     0.03%  python   python3.9                               [.] 0x00000000000de8f8
     0.03%  python   python3.9                               [.] 0x00000000000de921
     0.03%  python   python3.9                               [.] 0x00000000000decb2
     0.03%  python   python3.9                               [.] 0x00000000000deed0
     0.03%  python   python3.9                               [.] 0x00000000000def74
     0.03%  python   python3.9                               [.] 0x00000000000df034
     0.03%  python   python3.9                               [.] 0x00000000000df03a
     0.03%  python   python3.9                               [.] 0x00000000000df08b
     0.03%  python   python3.9                               [.] 0x00000000000df092
     0.03%  python   python3.9                               [.] 0x00000000000df387
     0.03%  python   python3.9                               [.] 0x00000000000df490
     0.03%  python   python3.9                               [.] 0x00000000000df494
     0.03%  python   python3.9                               [.] 0x00000000000df49b
     0.03%  python   python3.9                               [.] 0x00000000000df4a1
     0.03%  python   python3.9                               [.] 0x00000000000df4b9
     0.03%  python   python3.9                               [.] 0x00000000000df690
     0.03%  python   python3.9                               [.] 0x00000000000df770
     0.03%  python   python3.9                               [.] 0x00000000000df78f
     0.03%  python   python3.9                               [.] 0x00000000000df86b
     0.03%  python   python3.9                               [.] 0x00000000000df884
     0.03%  python   python3.9                               [.] 0x00000000000df887
     0.03%  python   python3.9                               [.] 0x00000000000e0030
     0.03%  python   python3.9                               [.] 0x00000000000e0098
     0.03%  python   python3.9                               [.] 0x00000000000e00d6
     0.03%  python   python3.9                               [.] 0x00000000000e00e8
     0.03%  python   python3.9                               [.] 0x00000000000e012e
     0.03%  python   python3.9                               [.] 0x00000000000e0138
     0.03%  python   python3.9                               [.] 0x00000000000e013d
     0.03%  python   python3.9                               [.] 0x00000000000e0165
     0.03%  python   python3.9                               [.] 0x00000000000e01c7
     0.03%  python   python3.9                               [.] 0x00000000000e0200
     0.03%  python   python3.9                               [.] 0x00000000000e022a
     0.03%  python   python3.9                               [.] 0x00000000000e0260
     0.03%  python   python3.9                               [.] 0x00000000000e0a90
     0.03%  python   python3.9                               [.] 0x00000000000e0b53
     0.03%  python   python3.9                               [.] 0x00000000000e1650
     0.03%  python   python3.9                               [.] 0x00000000000e1697
     0.03%  python   python3.9                               [.] 0x00000000000e16b6
     0.03%  python   python3.9                               [.] 0x00000000000e1752
     0.03%  python   python3.9                               [.] 0x00000000000e17f2
     0.03%  python   python3.9                               [.] 0x00000000000e180b
     0.03%  python   python3.9                               [.] 0x00000000000e1858
     0.03%  python   python3.9                               [.] 0x00000000000e18b8
     0.03%  python   python3.9                               [.] 0x00000000000e18ff
     0.03%  python   python3.9                               [.] 0x00000000000e1f50
     0.03%  python   python3.9                               [.] 0x00000000000e205c
     0.03%  python   python3.9                               [.] 0x00000000000e37a1
     0.03%  python   python3.9                               [.] 0x00000000000e37b6
     0.03%  python   python3.9                               [.] 0x00000000000e37be
     0.03%  python   python3.9                               [.] 0x00000000000e37c9
     0.03%  python   python3.9                               [.] 0x00000000000e37cc
     0.03%  python   python3.9                               [.] 0x00000000000e37e0
     0.03%  python   python3.9                               [.] 0x00000000000e3820
     0.03%  python   python3.9                               [.] 0x00000000000e3845
     0.03%  python   python3.9                               [.] 0x00000000000e3d05
     0.03%  python   python3.9                               [.] 0x00000000000e3f3e
     0.03%  python   python3.9                               [.] 0x00000000000e3fd9
     0.03%  python   python3.9                               [.] 0x00000000000e3fee
     0.03%  python   python3.9                               [.] 0x00000000000e4026
     0.03%  python   python3.9                               [.] 0x00000000000e426d
