# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 279K of event 'task-clock'
# Event count (approx.): 1403351583375
#
# Overhead  Command        Shared Object                                     Symbol                                                                                                                                                                                                                                                                                           
# ........  .............  ................................................  .................................................................................................................................................................................................................................................................................................
#
     0.00%  conda          python3.11                                        [.] 0x00000000000f9156
     0.00%  conda          python3.11                                        [.] 0x00000000000f9178
     0.00%  conda          python3.11                                        [.] 0x00000000000fa814
     0.00%  conda          python3.11                                        [.] 0x00000000000fa92b
     0.00%  conda          python3.11                                        [.] 0x00000000000fac38
     0.00%  conda          python3.11                                        [.] 0x00000000001012bb
     0.00%  conda          python3.11                                        [.] 0x00000000001021c9
     0.00%  conda          python3.11                                        [.] 0x0000000000104b69
     0.00%  conda          python3.11                                        [.] 0x0000000000104be5
     0.00%  conda          python3.11                                        [.] 0x0000000000104c85
     0.00%  conda          python3.11                                        [.] 0x00000000001064e9
     0.00%  conda          python3.11                                        [.] 0x0000000000108dcf
     0.00%  conda          python3.11                                        [.] 0x0000000000109510
     0.00%  conda          python3.11                                        [.] 0x0000000000109524
     0.00%  conda          python3.11                                        [.] 0x000000000010955e
     0.00%  conda          python3.11                                        [.] 0x0000000000109598
     0.00%  conda          python3.11                                        [.] 0x0000000000109606
     0.00%  conda          python3.11                                        [.] 0x000000000010bdbc
     0.00%  conda          python3.11                                        [.] 0x000000000010c99c
     0.00%  conda          python3.11                                        [.] 0x000000000010c9b7
     0.00%  conda          python3.11                                        [.] 0x000000000010ca14
     0.00%  conda          python3.11                                        [.] 0x000000000010cba1
     0.00%  conda          python3.11                                        [.] 0x000000000010ea44
     0.00%  conda          python3.11                                        [.] 0x000000000010ed98
     0.00%  conda          python3.11                                        [.] 0x000000000010ee61
     0.00%  conda          python3.11                                        [.] 0x000000000010ef55
     0.00%  conda          python3.11                                        [.] 0x000000000010f062
     0.00%  conda          python3.11                                        [.] 0x000000000010f1e9
     0.00%  conda          python3.11                                        [.] 0x000000000010f2c6
     0.00%  conda          python3.11                                        [.] 0x000000000010f4b5
     0.00%  conda          python3.11                                        [.] 0x000000000010f67b
     0.00%  conda          python3.11                                        [.] 0x000000000010f6f4
     0.00%  conda          python3.11                                        [.] 0x000000000010f73b
     0.00%  conda          python3.11                                        [.] 0x0000000000110226
     0.00%  conda          python3.11                                        [.] 0x00000000001109bf
     0.00%  conda          python3.11                                        [.] 0x0000000000111391
     0.00%  conda          python3.11                                        [.] 0x00000000001132a2
     0.00%  conda          python3.11                                        [.] 0x00000000001135e6
     0.00%  conda          python3.11                                        [.] 0x0000000000113a86
     0.00%  conda          python3.11                                        [.] 0x0000000000114919
     0.00%  conda          python3.11                                        [.] 0x00000000001157ee
     0.00%  conda          python3.11                                        [.] 0x0000000000119ffb
     0.00%  conda          python3.11                                        [.] 0x000000000011aac5
     0.00%  conda          python3.11                                        [.] 0x000000000011ab69
     0.00%  conda          python3.11                                        [.] 0x000000000011ab9a
     0.00%  conda          python3.11                                        [.] 0x000000000011ad19
     0.00%  conda          python3.11                                        [.] 0x000000000011b7b2
     0.00%  conda          python3.11                                        [.] 0x000000000011b7da
     0.00%  conda          python3.11                                        [.] 0x000000000011ba90
     0.00%  conda          python3.11                                        [.] 0x000000000011f5b8
     0.00%  conda          python3.11                                        [.] 0x00000000001230c3
     0.00%  conda          python3.11                                        [.] 0x000000000012a641
     0.00%  conda          python3.11                                        [.] 0x00000000001319ee
     0.00%  conda          python3.11                                        [.] 0x00000000001340e1
     0.00%  conda          python3.11                                        [.] 0x0000000000134945
     0.00%  conda          python3.11                                        [.] 0x0000000000134975
     0.00%  conda          python3.11                                        [.] 0x00000000001349a5
     0.00%  conda          python3.11                                        [.] 0x0000000000134a3d
     0.00%  conda          python3.11                                        [.] 0x0000000000134fbe
     0.00%  conda          python3.11                                        [.] 0x0000000000135138
     0.00%  conda          python3.11                                        [.] 0x0000000000135c78
     0.00%  conda          python3.11                                        [.] 0x000000000013b7d6
     0.00%  conda          python3.11                                        [.] 0x000000000013b86b
     0.00%  conda          python3.11                                        [.] 0x000000000013e7a9
     0.00%  conda          python3.11                                        [.] 0x000000000013ee90
     0.00%  conda          python3.11                                        [.] 0x00000000001493f8
     0.00%  conda          python3.11                                        [.] 0x0000000000150d88
     0.00%  conda          python3.11                                        [.] 0x0000000000167425
     0.00%  conda          python3.11                                        [.] 0x00000000001678b1
     0.00%  conda          python3.11                                        [.] 0x0000000000168182
     0.00%  conda          python3.11                                        [.] 0x000000000016c42e
     0.00%  conda          python3.11                                        [.] 0x000000000016d106
     0.00%  conda          python3.11                                        [.] 0x00000000001724d0
     0.00%  conda          python3.11                                        [.] 0x0000000000177fb8
     0.00%  conda          python3.11                                        [.] 0x0000000000180791
     0.00%  conda          python3.11                                        [.] 0x00000000001c613f
     0.00%  conda          python3.11                                        [.] 0x00000000001c9d03
     0.00%  conda          python3.11                                        [.] 0x00000000001ca934
     0.00%  conda          python3.11                                        [.] 0x00000000001f3360
     0.00%  conda          python3.11                                        [.] 0x00000000001f8060
     0.00%  conda          python3.11                                        [.] 0x0000000000215c30
     0.00%  gcc            [kernel.kallsyms]                                 [k] __handle_mm_fault
     0.00%  gcc            [kernel.kallsyms]                                 [k] __memcg_slab_post_alloc_hook
     0.00%  gcc            [kernel.kallsyms]                                 [k] __pte_offset_map
     0.00%  gcc            [kernel.kallsyms]                                 [k] do_user_addr_fault
     0.00%  gcc            [kernel.kallsyms]                                 [k] mas_prev_slot
     0.00%  gcc            [kernel.kallsyms]                                 [k] mas_wr_walk
     0.00%  gcc            x86_64-linux-gnu-gcc-11                           [.] 0x000000000002fb0b
     0.00%  git            [kernel.kallsyms]                                 [k] __d_lookup_rcu
     0.00%  git            [kernel.kallsyms]                                 [k] __d_lookup_unhash
     0.00%  git            [kernel.kallsyms]                                 [k] _copy_to_iter
     0.00%  git            [kernel.kallsyms]                                 [k] aa_dfa_match
     0.00%  git            [kernel.kallsyms]                                 [k] aa_path_perm
     0.00%  git            [kernel.kallsyms]                                 [k] apparmor_file_permission
     0.00%  git            [kernel.kallsyms]                                 [k] apparmor_mmap_file
     0.00%  git            [kernel.kallsyms]                                 [k] copy_from_kernel_nofault
     0.00%  git            [kernel.kallsyms]                                 [k] d_set_d_op
     0.00%  git            [kernel.kallsyms]                                 [k] do_faccessat
     0.00%  git            [kernel.kallsyms]                                 [k] finish_task_switch.isra.0
     0.00%  git            [kernel.kallsyms]                                 [k] inode_owner_or_capable
     0.00%  git            [kernel.kallsyms]                                 [k] link_path_walk.part.0.constprop.0
     0.00%  git            [kernel.kallsyms]                                 [k] lruvec_stat_mod_folio.constprop.0
     0.00%  git            [kernel.kallsyms]                                 [k] memcg_list_lru_alloc
     0.00%  git            [kernel.kallsyms]                                 [k] override_creds
     0.00%  git            [kernel.kallsyms]                                 [k] ovl_path_type
     0.00%  git            [kernel.kallsyms]                                 [k] strncpy_from_user
     0.00%  git            git                                               [.] 0x00000000001161c4
     0.00%  git            git                                               [.] 0x000000000028bf95
     0.00%  git            git                                               [.] 0x000000000028c020
     0.00%  git            git                                               [.] 0x000000000028c245
     0.00%  git            git                                               [.] 0x000000000028c406
     0.00%  git            git                                               [.] 0x000000000028c4c9
     0.00%  git            git                                               [.] 0x000000000028c601
     0.00%  git            git                                               [.] 0x000000000028c7e8
     0.00%  git            git                                               [.] 0x000000000028c9af
     0.00%  git            git                                               [.] 0x000000000028ca2b
     0.00%  git            git                                               [.] 0x000000000028ca87
     0.00%  git            git                                               [.] 0x000000000028caa3
     0.00%  git            git                                               [.] 0x000000000028cbb3
     0.00%  git            git                                               [.] 0x000000000028cbbf
     0.00%  git            git                                               [.] 0x000000000028cca6
     0.00%  git            git                                               [.] 0x000000000028cf4f
     0.00%  git            git                                               [.] 0x000000000028d4fc
     0.00%  git            git                                               [.] 0x000000000028d884
     0.00%  git            git                                               [.] 0x000000000028d95e
     0.00%  git            git                                               [.] 0x000000000028dc0a
     0.00%  git            git                                               [.] 0x000000000028dd52
     0.00%  git            git                                               [.] 0x000000000028deb1
     0.00%  git            git                                               [.] 0x000000000028e059
     0.00%  ld             [kernel.kallsyms]                                 [k] __raw_callee_save___pv_queued_spin_unlock
     0.00%  ld             [kernel.kallsyms]                                 [k] __rcu_read_unlock
     0.00%  ld             [kernel.kallsyms]                                 [k] do_dentry_open
     0.00%  ld             [kernel.kallsyms]                                 [k] do_user_addr_fault
     0.00%  ld             libc.so.6                                         [.] malloc
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000014380
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x00000000000145fe
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000014645
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x000000000002f3d0
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x00000000000343d2
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000037efa
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000038042
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x00000000000380ea
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000038138
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000038141
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000039b95
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000039bd8
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000046fa0
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x000000000004dd07
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x00000000000721dc
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000072bbd
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x000000000007311c
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000075800
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000075814
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000075ae8
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x00000000000f27d0
     0.00%  lscpu          [kernel.kallsyms]                                 [k] __virt_addr_valid
     0.00%  lscpu          [kernel.kallsyms]                                 [k] syscall_trace_enter
     0.00%  lscpu          lscpu                                             [.] 0x000000000000e6f4
     0.00%  pytest         [kernel.kallsyms]                                 [k] __check_sticky
     0.00%  pytest         [kernel.kallsyms]                                 [k] __dquot_initialize
     0.00%  pytest         [kernel.kallsyms]                                 [k] __handle_mm_fault
     0.00%  pytest         [kernel.kallsyms]                                 [k] __inet_lookup_skb
     0.00%  pytest         [kernel.kallsyms]                                 [k] __memset
     0.00%  pytest         [kernel.kallsyms]                                 [k] __raw_callee_save___pv_queued_spin_unlock
     0.00%  pytest         [kernel.kallsyms]                                 [k] __rmqueue_pcplist
     0.00%  pytest         [kernel.kallsyms]                                 [k] __x64_sys_futex
     0.00%  pytest         [kernel.kallsyms]                                 [k] _raw_write_unlock_irq
     0.00%  pytest         [kernel.kallsyms]                                 [k] aa_path_perm
     0.00%  pytest         [kernel.kallsyms]                                 [k] count_memcg_events.constprop.0
     0.00%  pytest         [kernel.kallsyms]                                 [k] crc32c_pcl_intel_update
     0.00%  pytest         [kernel.kallsyms]                                 [k] down_read_trylock
     0.00%  pytest         [kernel.kallsyms]                                 [k] ext4_fill_raw_inode
     0.00%  pytest         [kernel.kallsyms]                                 [k] ext4_invalidate_folio
     0.00%  pytest         [kernel.kallsyms]                                 [k] filemap_map_pages
     0.00%  pytest         [kernel.kallsyms]                                 [k] folio_remove_rmap_ptes
     0.00%  pytest         [kernel.kallsyms]                                 [k] folio_xchg_last_cpupid
     0.00%  pytest         [kernel.kallsyms]                                 [k] free_swap_cache
     0.00%  pytest         [kernel.kallsyms]                                 [k] futex_wake
     0.00%  pytest         [kernel.kallsyms]                                 [k] generic_permission
     0.00%  pytest         [kernel.kallsyms]                                 [k] get_mem_cgroup_from_mm
     0.00%  pytest         [kernel.kallsyms]                                 [k] jbd2_write_access_granted
     0.00%  pytest         [kernel.kallsyms]                                 [k] kmem_cache_alloc
     0.00%  pytest         [kernel.kallsyms]                                 [k] link_path_walk.part.0.constprop.0
     0.00%  pytest         [kernel.kallsyms]                                 [k] mas_leaf_max_gap
     0.00%  pytest         [kernel.kallsyms]                                 [k] mas_pop_node
     0.00%  pytest         [kernel.kallsyms]                                 [k] mas_walk
     0.00%  pytest         [kernel.kallsyms]                                 [k] native_write_msr
     0.00%  pytest         [kernel.kallsyms]                                 [k] ovl_maybe_validate_verity
     0.00%  pytest         [kernel.kallsyms]                                 [k] pte_offset_map_nolock
     0.00%  pytest         [kernel.kallsyms]                                 [k] rb_first
     0.00%  pytest         [kernel.kallsyms]                                 [k] rcu_cblist_dequeue
     0.00%  pytest         [kernel.kallsyms]                                 [k] release_pages
     0.00%  pytest         [kernel.kallsyms]                                 [k] revert_creds
     0.00%  pytest         [kernel.kallsyms]                                 [k] rmqueue
     0.00%  pytest         [kernel.kallsyms]                                 [k] security_inode_permission
     0.00%  pytest         [kernel.kallsyms]                                 [k] should_flush_tlb
     0.00%  pytest         [kernel.kallsyms]                                 [k] smp_call_function_many_cond
     0.00%  pytest         [kernel.kallsyms]                                 [k] strcmp
     0.00%  pytest         [kernel.kallsyms]                                 [k] strncpy_from_user
     0.00%  pytest         [kernel.kallsyms]                                 [k] task_mm_cid_work
     0.00%  pytest         [kernel.kallsyms]                                 [k] touch_atime
     0.00%  pytest         [kernel.kallsyms]                                 [k] try_to_wake_up
     0.00%  pytest         [kernel.kallsyms]                                 [k] xas_descend
     0.00%  pytest         [kernel.kallsyms]                                 [k] zap_pte_range
     0.00%  pytest         [vdso]                                            [.] 0x0000000000000af0
     0.00%  pytest         _csparsetools.cpython-39-x86_64-linux-gnu.so      [.] 0x000000000002ad0d
     0.00%  pytest         _ctypes.cpython-39-x86_64-linux-gnu.so            [.] 0x0000000000013e40
     0.00%  pytest         _flapack.cpython-39-x86_64-linux-gnu.so           [.] 0x000000000002f730
     0.00%  pytest         _flapack.cpython-39-x86_64-linux-gnu.so           [.] 0x00000000000e8438
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000002b450
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000002b5b0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000002b6a0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000002cb70
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000002d5b0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000002dce6
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000043844
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000004a950
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000862da
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000086301
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000aa5d0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000aa5e9
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000aa5ed
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000babb0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000c1c30
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000c9bf0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000c9eb5
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000f3c10
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000f4dbd
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000f5198
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000f540f
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000010b092
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000010c7d4
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013b9cd
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ba17
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013c993
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013c99b
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013c9c3
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ca22
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ca5a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013d67c
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013e560
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013e5c3
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ed45
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ed92
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013f309
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013f38a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013f7bb
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013fe2e
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001400d7
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001429fb
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000142e80
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000014424c
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001442e0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000014461d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000014499d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000014f290
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000151a34
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000151e24
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001523bd
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015242c
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001525d0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001526d3
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000152de7
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000152df7
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000154aa4
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015559e
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000155761
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000157ba0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001594a6
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015a413
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015b710
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015b932
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015bb50
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015bb5a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015bb75
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015be30
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015be3c
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015be40
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015be89
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015bf0e
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015bf11
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015bfbb
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015c001
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000015e860
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001600ac
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001752e0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000175a10
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000175b20
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000018282b
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000182ea0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000186322
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000018639a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001864b8
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000186680
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000186684
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000187160
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000188e82
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000018a8c0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000192120
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000195510
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000198810
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001989da
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000198a2f
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000198cd5
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000198d83
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019935a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019c187
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019c380
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019c393
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019c676
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019c69f
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019cac7
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000019f635
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001a3da9
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001a3dae
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001a9120
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001a9946
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b1735
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b2bf6
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b2ef1
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b2f3a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b301d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b324d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b3e04
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b4385
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b5f7d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b7b93
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b7c10
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b7e13
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b7f89
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b7fd2
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b8018
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b8021
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b808d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b8819
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b8afc
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b8f79
